IP Address,Apache,Bots,BruteForceLogin,FTP,IMAP,Mail,SIP,SSH,StrongIPs,Total
1.6.233.253,1,0,1,0,0,0,0,0,0,2
103.114.105.198,1,0,0,0,0,0,0,0,0,1
103.117.219.49,1,0,1,0,0,0,0,0,0,2
77.109.139.87,1,0,0,0,0,1,0,0,0,2
104.131.167.46,0,1,0,0,0,0,0,0,0,1
5.188.84.220,0,1,0,0,0,0,0,0,1,2
52.186.169.219,0,1,0,0,0,0,0,0,0,1
1.144.27.143,0,0,0,0,1,1,0,0,0,2
101.78.151.178,0,0,0,0,0,1,0,0,0,1
103.147.184.193,0,0,0,0,1,1,0,0,1,3
95.90.182.134,0,0,0,0,1,1,0,0,0,2
1.15.147.137,0,0,0,0,0,0,1,0,0,1
103.219.112.63,0,0,0,0,0,0,1,0,1,2
1.1.194.141,0,0,0,0,0,0,0,1,0,1
101.36.151.78,0,0,0,0,0,0,0,1,1,2
