IP Address,Apache,Bots,BruteForceLogin,FTP,IMAP,Mail,SIP,SSH,StrongIPs,Total,Country,Country-Code,XFE-Score,XFE-Cat-Spam,XFE-Cat-AnonServ,XFE-Cat-ScanningIP,XFE-Cat-DynamicIP,XFE-Cat-Malware,XFE-Cat-Bots,XFE-Cat-BotnetC2C
1.6.233.253,1,0,1,0,0,0,0,0,0,2,India,IN,1.4,14,0,0,0,0,0,0
103.114.105.198,1,0,0,0,0,0,0,0,0,1,Vietnam,VN,1.0,0,0,0,0,0,0,0
103.117.219.49,1,0,1,0,0,0,0,0,0,2,India,IN,1.0,0,0,0,0,0,0,0
77.109.139.87,1,0,0,0,0,1,0,0,0,2,Switzerland,CH,1.0,0,0,0,0,0,0,0
104.131.167.46,0,1,0,0,0,0,0,0,0,1,United States,US,1.0,0,0,0,0,0,0,0
5.188.84.220,0,1,0,0,0,0,0,0,1,2,Russia,RU,1.0,0,0,0,0,0,0,0
52.186.169.219,0,1,0,0,0,0,0,0,0,1,United States,US,1.0,0,0,0,0,0,0,0
1.144.27.143,0,0,0,0,1,1,0,0,0,2,Australia,AU,1.0,0,0,0,0,0,0,0
101.78.151.178,0,0,0,0,0,1,0,0,0,1,Hong Kong S.A.R. of China,CN,10.0,100,0,0,0,0,71,0
103.147.184.193,0,0,0,0,1,1,0,0,1,3,Vietnam,VN,1.0,0,0,0,0,0,0,0
95.90.182.134,0,0,0,0,1,1,0,0,0,2,Germany,DE,1.0,0,0,0,0,0,0,0
1.15.147.137,0,0,0,0,0,0,1,0,0,1,China,CN,1.0,0,0,0,0,0,0,0
103.219.112.63,0,0,0,0,0,0,1,0,1,2,Indonesia,ID,1.0,0,0,0,0,0,0,0
1.1.194.141,0,0,0,0,0,0,0,1,0,1,Thailand,TH,1.0,0,0,0,71,0,0,0
101.36.151.78,0,0,0,0,0,0,0,1,1,2,China,CN,1.0,0,0,0,0,0,0,0
